t,P_a
437.0,96.7845696626
438.0,96.6246469659
439.0,96.6973036512
440.0,96.4979532745
441.0,96.4587339257
442.0,96.5027790318
443.0,96.4027472466
444.0,96.5295837006
445.0,96.5716067159
446.0,96.6760670063
447.0,96.3886385297
448.0,96.4482195832
449.0,96.2313023485
450.0,96.3908982451
451.0,96.1361809976
452.0,96.3235574915
453.0,95.9568885146
454.0,96.2152164906
455.0,96.1018582198
456.0,95.979942314
457.0,96.1219992958
458.0,95.8321658159
459.0,95.6527277669
460.0,95.6842422685
461.0,95.8017182843
462.0,95.6023135219
463.0,95.3192590654
464.0,95.1799932217
465.0,95.5486053225
466.0,95.4430336565
467.0,95.4887973223
468.0,95.2709301438
469.0,95.3151575374
470.0,95.3241195846
471.0,95.2033578367
472.0,95.3256766846
473.0,95.3872198453
474.0,95.342754388
475.0,95.1390611931
476.0,95.1349226191
477.0,95.0185052695
478.0,94.7524979653
479.0,94.901768713
480.0,94.7482952834
481.0,94.5062237804
482.0,94.4586042717
483.0,94.161063778
484.0,94.1445796232
485.0,94.0175902004
486.0,93.9755851304
487.0,93.6929693029
488.0,93.9233288101
489.0,93.89858104
490.0,93.8230530161
491.0,93.8925903869
492.0,93.8841969712
493.0,93.706059385
494.0,93.6440753601
495.0,93.6204925055
496.0,93.6492953441
497.0,93.4050405379
498.0,93.2757533796
499.0,93.1901244817
500.0,93.1681327688
501.0,93.087680997
502.0,93.2986743137
503.0,93.1985999797
504.0,92.7861879777
505.0,92.9658154609
506.0,93.0897212931
507.0,92.9941331534
508.0,93.0611963695
509.0,92.9768822255
510.0,92.8711484945
511.0,92.7310860081
512.0,92.6045602306
513.0,92.499035183
514.0,92.4776302886
515.0,92.4773589444
516.0,92.6425358988
517.0,92.4594637211
518.0,92.3399066827
519.0,92.3112383117
520.0,92.0505817174
521.0,91.8866545179
522.0,92.0710791474
523.0,91.7990693163
524.0,91.9912949551
525.0,91.8610016477
526.0,91.8980769895
527.0,91.8055832264
528.0,91.8460664473
529.0,91.645106682
530.0,91.7300358048
531.0,91.5957819127
532.0,91.6016507863
533.0,91.4364055014
534.0,91.4348368237
535.0,91.3787479463
536.0,91.1591221409
537.0,91.1978044415
538.0,91.0029325791
539.0,90.877723575
540.0,90.8757789406
541.0,90.9826163524
542.0,91.0359214626
543.0,90.9119545141
544.0,90.9423320447
545.0,90.7464855947
546.0,90.5965118678
547.0,90.8628849405
548.0,90.5402386412
549.0,90.5457649731
550.0,90.5239065217
551.0,90.6507695544
552.0,90.4033063175
553.0,90.2514728791
554.0,90.3257026775
555.0,90.4371725324
556.0,90.4667615978
557.0,90.2185738305
558.0,90.1451255266
559.0,89.9155679955
560.0,89.8695601039
561.0,89.9442445234
562.0,89.8205542556
563.0,90.0965452688
564.0,89.8101612563
565.0,89.982787055
566.0,89.7695780233
567.0,89.7175745968
568.0,89.7048495217
