t,P_a
1279.0,98.5015957253
1280.0,98.456134133
1281.0,98.1138874345
1282.0,98.5226658191
1283.0,98.2948988828
1284.0,98.2238084068
1285.0,98.0350846791
1286.0,98.1071074502
1287.0,98.263192387
1288.0,98.1031894037
1289.0,98.2962612528
1290.0,98.110933114
1291.0,98.1288250012
1292.0,97.8994559791
1293.0,97.8530941469
1294.0,97.7846405697
1295.0,97.770469808
1296.0,97.9492347361
1297.0,97.9828270435
1298.0,98.2485276711
1299.0,98.0903246865
1300.0,98.0992302249
1301.0,98.0153404823
1302.0,97.9218327896
1303.0,97.9449514266
1304.0,98.0764596999
1305.0,98.0978286265
1306.0,98.0733628417
1307.0,97.9853059105
1308.0,97.9658405978
1309.0,97.852926579
1310.0,97.8075318172
1311.0,97.8946884798
1312.0,97.772189879
1313.0,97.6609442029
1314.0,97.9215445084
1315.0,97.9400480432
1316.0,97.8644941984
1317.0,97.9266834253
1318.0,97.8441859371
1319.0,97.9874741811
1320.0,97.8187399484
1321.0,97.9790193445
1322.0,98.0412232367
1323.0,97.9034061592
1324.0,98.1098677196
1325.0,98.0027812918
1326.0,98.0485754407
1327.0,98.0619733676
1328.0,98.1797446125
1329.0,98.0538594773
1330.0,98.0726257094
1331.0,98.1012538135
1332.0,97.9125245791
1333.0,98.0172570921
1334.0,98.0739300448
1335.0,98.2031301584
1336.0,98.1207982693
1337.0,97.8268782745
1338.0,97.8411877783
1339.0,97.7689781181
1340.0,97.6781953422
1341.0,97.3519552657
1342.0,97.6498236185
1343.0,97.6387974735
1344.0,97.4702973369
1345.0,97.1495124285
1346.0,97.479667538
1347.0,97.4173855221
1348.0,97.4099158908
1349.0,97.3509548691
1350.0,97.4082834871
1351.0,97.342012382
1352.0,97.0647447034
1353.0,97.1154187043
1354.0,97.0825008826
1355.0,97.1132000605
1356.0,97.0373030872
1357.0,96.8696436077
1358.0,96.7202921909
1359.0,96.6397359858
1360.0,96.7231562845
1361.0,96.7088388869
1362.0,96.2673055045
1363.0,96.2650987034
1364.0,96.3410778288
1365.0,96.4898841281
1366.0,96.1389768313
1367.0,96.0904924131
1368.0,96.1712896555
1369.0,96.0729279363
1370.0,96.1464350725
1371.0,95.9543917098
1372.0,96.0209183149
1373.0,95.5902140373
1374.0,95.6839671826
1375.0,95.5839674436
1376.0,95.6688294086
1377.0,95.671961356
1378.0,95.6572419936
1379.0,95.6742849293
1380.0,95.5607848769
1381.0,95.5159697712
1382.0,95.6054190876
1383.0,95.5120177576
1384.0,95.247131297
1385.0,95.3471585079
1386.0,95.3701645378
1387.0,95.5780236024
1388.0,95.4325204587
1389.0,95.2981638897
1390.0,95.7307870074
1391.0,95.6968118366
1392.0,95.5400176168
1393.0,95.2475839603
1394.0,95.4689904512
1395.0,95.4458801521
1396.0,95.5731217829
1397.0,95.5225230535
1398.0,95.5084535937
1399.0,95.4873063458
1400.0,95.4693420791
1401.0,95.5674575393
1402.0,95.6296763734
1403.0,95.6367398265
1404.0,95.4717488648
1405.0,95.3807926705
1406.0,95.2818316794
1407.0,95.254118661
1408.0,95.1202136892
1409.0,94.8881419573
1410.0,94.7943498022
1411.0,94.8303802373
1412.0,94.6889893096
1413.0,94.4310148388
1414.0,94.2542924056
1415.0,94.1360414462
1416.0,94.0826066966
1417.0,94.0190190554
1418.0,93.7035227791
1419.0,93.99228084
1420.0,93.884409256
1421.0,93.7781702585
1422.0,94.0316918473
1423.0,93.8058225294
1424.0,93.8763439624
1425.0,93.839792897
1426.0,93.8528916072
1427.0,94.0427683675
1428.0,94.0970777699
1429.0,93.8618725496
1430.0,93.7394126025
1431.0,93.829220659
1432.0,93.70822338
1433.0,93.704451401
1434.0,93.5995191712
1435.0,93.5593303665
1436.0,93.3492470484
1437.0,93.4148973751
1438.0,93.1884570716
1439.0,92.9940342652
1440.0,93.1387476797
1441.0,92.909218765
1442.0,92.7365914087
1443.0,92.968004191
1444.0,92.9505103344
1445.0,92.6998015699
1446.0,92.7794923826
1447.0,92.7650844275
1448.0,92.4789856126
1449.0,92.4887365395
1450.0,92.4463032997
1451.0,92.2943620581
1452.0,92.0208585467
1453.0,91.9019897254
1454.0,92.0674740542
1455.0,91.9731975122
1456.0,91.8888995682
1457.0,91.9719653439
1458.0,92.0139660511
1459.0,92.033074596
1460.0,91.7390278193
1461.0,91.817722132
1462.0,91.4250845619
1463.0,91.3538707435
1464.0,91.5703209428
1465.0,91.6017388181
1466.0,91.7046429899
1467.0,91.6567155334
1468.0,91.7116311272
1469.0,91.7831042606
1470.0,91.6504784865
1471.0,91.6107691168
1472.0,91.5644079305
1473.0,91.538141835
1474.0,91.486653564
1475.0,91.5854731078
1476.0,91.3853295388
1477.0,91.0117364249
1478.0,91.0164791847
1479.0,90.9724645384
1480.0,90.9388022423
1481.0,90.7355128712
1482.0,90.8573935558
1483.0,90.9801811232
1484.0,90.9417743234
1485.0,90.757637217
1486.0,90.6386385464
1487.0,90.597660619
1488.0,90.7525560476
1489.0,90.8802232924
1490.0,90.5894285934
1491.0,90.3432021006
1492.0,90.3806617105
1493.0,90.179178333
1494.0,90.2869490876
1495.0,90.2080854055
1496.0,90.1440639251
1497.0,90.0054643235
1498.0,89.9456546051
1499.0,89.8104083653
1500.0,89.8594298707
1501.0,89.9660479916
1502.0,89.9579705248
1503.0,89.9179781395
1504.0,89.828722635
1505.0,89.6976749457
1506.0,89.6718705316
1507.0,89.712307397
1508.0,89.8040166562
1509.0,89.7133751321
1510.0,89.5275976611
1511.0,89.4679259316
1512.0,89.4198903548
1513.0,89.6306444317
1514.0,89.1710652472
1515.0,89.3701592265
1516.0,89.183160282
1517.0,89.1852489034
1518.0,89.019131323
1519.0,88.823490703
1520.0,88.7103150668
1521.0,88.6103041664
1522.0,88.7121196201
1523.0,88.7097895337
1524.0,88.7091220381
1525.0,88.6054964094
1526.0,88.4412124586
1527.0,88.6251270108
1528.0,88.3531613976
1529.0,88.1998783218
1530.0,88.1507829187
1531.0,88.415410487
1532.0,88.2273881643
1533.0,88.1177406108
1534.0,88.1304619183
1535.0,87.9387014105
1536.0,88.0144077173
1537.0,87.9082247769
1538.0,87.9620982882
1539.0,87.8853354976
1540.0,87.9746854426
1541.0,88.109159008
1542.0,88.1256767485
1543.0,88.0039940437
1544.0,87.7563955868
1545.0,87.6545544685
1546.0,87.4708669207
1547.0,87.5024085344
1548.0,87.4901723212
1549.0,87.6947151192
1550.0,87.5236109176
1551.0,87.3659023989
1552.0,87.3594479394
1553.0,87.0249980321
1554.0,87.029050238
1555.0,86.8241318444
1556.0,86.8135374923
1557.0,86.916312815
1558.0,87.0638596035
1559.0,86.9021220829
1560.0,87.1662993336
1561.0,86.9330629382
1562.0,86.8783525092
1563.0,86.78713728
1564.0,86.837517375
1565.0,86.8645238768
1566.0,86.7197744663
1567.0,86.8308079038
1568.0,86.6718255804
1569.0,86.7499112088
1570.0,86.5763903405
1571.0,86.3545382526
1572.0,86.6091937743
1573.0,86.5843454114
1574.0,86.469230401
1575.0,86.5903982496
1576.0,86.5379777163
1577.0,86.4073340195
1578.0,86.7072201353
1579.0,86.3891771134
1580.0,86.5209710522
1581.0,86.511296502
1582.0,86.1835932562
1583.0,86.0838416375
1584.0,86.0492982587
1585.0,77.5427196209
1586.0,77.5940184812
1587.0,77.5270845214
1588.0,77.3852560554
1589.0,77.3028995276
1590.0,77.4036736688
1591.0,77.5680881191
1592.0,77.6372026206
1593.0,77.844885794
1594.0,77.7236098255
1595.0,77.825613263
1596.0,77.7525328642
1597.0,77.8160897527
1598.0,77.6106646563
1599.0,77.434523643
1600.0,77.5226167129
1601.0,77.5149293994
1602.0,77.3856452978
1603.0,77.3599684939
1604.0,77.2271386683
1605.0,77.1021332311
1606.0,77.1078587156
1607.0,77.206103276
1608.0,77.0677011214
1609.0,76.9130634487
1610.0,77.0288851155
1611.0,77.0513193534
1612.0,76.9646273661
1613.0,76.9058911064
1614.0,76.8373070368
1615.0,76.6374925461
1616.0,76.8238369205
1617.0,76.7961714741
1618.0,76.9406239367
1619.0,76.8270259347
1620.0,76.6671653678
1621.0,76.6090407405
1622.0,76.6564106658
1623.0,76.557926804
1624.0,76.5531686866
1625.0,76.4290774269
1626.0,76.0749003051
1627.0,76.3729670615
1628.0,76.3569436698
1629.0,76.5869551989
1630.0,76.5719569522
1631.0,76.6193540452
1632.0,76.4773803487
1633.0,76.4182725293
1634.0,76.7532652077
1635.0,76.6927512484
1636.0,76.7466264921
1637.0,76.6284150189
1638.0,76.3443500761
1639.0,76.760054834
1640.0,76.6271359761
1641.0,76.70126555
1642.0,76.4843905381
1643.0,76.5731768719
1644.0,76.422289889
1645.0,76.3100902684
1646.0,76.4466096799
1647.0,76.5604579959
1648.0,76.6061405351
1649.0,76.3879973235
1650.0,76.4884819423
1651.0,76.4172323847
1652.0,76.3921135424
1653.0,76.3883917822
1654.0,76.4385729561
1655.0,76.2399372465
1656.0,76.1218408214
1657.0,76.339197322
1658.0,76.1632622415
1659.0,76.3682998951
1660.0,76.3644836332
1661.0,75.9473016029
1662.0,76.0446886683
1663.0,76.0304947477
1664.0,76.1679151784
1665.0,75.8662564098
1666.0,75.9468108088
1667.0,75.7944866631
1668.0,75.6636671328
1669.0,75.6502642668
1670.0,75.6701316202
1671.0,75.5513039678
1672.0,75.5226853775
1673.0,75.529158419
1674.0,75.6378650288
1675.0,75.4943768973
1676.0,75.3868700624
1677.0,75.1867888472
1678.0,75.2970275622
1679.0,75.2641574581
1680.0,75.2736824977
1681.0,75.4921678673
1682.0,75.4504818864
1683.0,75.6510221407
1684.0,75.6285338768
1685.0,75.5831122872
1686.0,75.4916412777
1687.0,75.567540339
1688.0,75.6005279725
1689.0,75.7356682884
1690.0,75.749990434
1691.0,75.7508659897
1692.0,75.6963022093
1693.0,75.8600462697
1694.0,75.5453474646
1695.0,75.6467349845
1696.0,75.4203890007
1697.0,75.5566411383
1698.0,75.4562099996
1699.0,75.4822230543
1700.0,75.5850816303
1701.0,75.5684791455
1702.0,75.6219866833
1703.0,75.542970538
1704.0,75.282116757
1705.0,75.1680610568
1706.0,75.1424997365
1707.0,75.358167914
1708.0,75.3658903913
1709.0,75.1676468574
1710.0,75.1156568481
1711.0,75.193857826
1712.0,75.4131891309
1713.0,75.2733024381
1714.0,75.2372412412
1715.0,75.2837244248
1716.0,75.2567227418
1717.0,75.2991363134
1718.0,75.3073278394
1719.0,75.3218808191
1720.0,75.3285415224
1721.0,75.2779075265
1722.0,75.4407496176
1723.0,75.3755150681
1724.0,75.1783285154
1725.0,75.2689394184
1726.0,75.3713311739
1727.0,75.2164823673
1728.0,75.1333154636
1729.0,75.0775727253
1730.0,75.2417105804
1731.0,75.2500106402
1732.0,75.3033922031
1733.0,75.5589120158
1734.0,75.233363226
1735.0,75.4115977602
1736.0,75.2513095151
1737.0,75.43844743
1738.0,75.3218605215
1739.0,75.3357870263
1740.0,75.1786304282
1741.0,75.4822295995
1742.0,75.5374757023
1743.0,75.3824814683
1744.0,75.5728685401
1745.0,75.4255164302
1746.0,75.6565931609
1747.0,75.7718218074
1748.0,75.6509958153
1749.0,75.6760515742
1750.0,75.6386443891
1751.0,75.618863184
1752.0,75.426853568
1753.0,75.3551431245
1754.0,75.2647068307
1755.0,75.5475997886
1756.0,75.6079869265
1757.0,75.8806856462
1758.0,76.0444945237
1759.0,76.0141966764
1760.0,75.9256989172
1761.0,76.0834730346
1762.0,76.1556211713
1763.0,75.9772623394
1764.0,76.0836602733
1765.0,76.0779157175
1766.0,75.9809603812
1767.0,76.1245219972
1768.0,76.0329411082
1769.0,76.0288800518
1770.0,75.9380647871
1771.0,76.0369297491
1772.0,76.0559339993
1773.0,76.2496355956
1774.0,76.3933582634
1775.0,76.3022184372
1776.0,76.3612987343
1777.0,76.2888992472
1778.0,76.1711473291
1779.0,76.246347857
1780.0,76.2143871949
1781.0,76.4032342187
1782.0,76.4085743104
1783.0,76.2571574883
1784.0,76.1976431802
1785.0,76.485129557
1786.0,76.6494546463
1787.0,76.7642548652
1788.0,76.934498777
1789.0,76.8978500615
1790.0,76.9927501818
1791.0,77.1413268178
1792.0,77.1898949963
1793.0,77.1933462758
1794.0,77.2927686536
1795.0,77.2479097084
1796.0,77.3373288634
1797.0,77.2493724802
1798.0,77.371384081
1799.0,77.3493302563
1800.0,77.2672026218
1801.0,77.3379701822
1802.0,77.305549749
1803.0,77.2226302312
1804.0,77.2936972099
1805.0,77.1714493438
1806.0,77.241098286
1807.0,77.3340867655
1808.0,77.2247054215
1809.0,77.2597494756
1810.0,77.3278513318
1811.0,77.2959701398
1812.0,77.2788873413
1813.0,77.4409783293
1814.0,77.4003448669
1815.0,77.3169655328
1816.0,77.1380666821
1817.0,77.2914612068
1818.0,76.9448168932
1819.0,77.1964536367
1820.0,77.3793923748
1821.0,77.3003624821
1822.0,77.3893635035
1823.0,77.3287066155
1824.0,77.5519480274
1825.0,77.5914049247
1826.0,77.6307591815
1827.0,77.6933937216
1828.0,77.6669835208
1829.0,77.5969495247
1830.0,77.614110577
1831.0,77.6621689647
1832.0,77.8459699448
1833.0,77.5976179302
1834.0,77.7271406538
1835.0,77.8616418143
1836.0,77.8771524847
1837.0,77.7611957431
1838.0,77.830550224
1839.0,77.9613770156
1840.0,77.7999488505
1841.0,77.9755111858
1842.0,77.9738842638
1843.0,77.8433551167
1844.0,78.1575013207
1845.0,78.2639020328
1846.0,78.1490344942
1847.0,78.0332520279
1848.0,78.1730352115
1849.0,78.306348627
1850.0,78.222038123
1851.0,78.0383982109
1852.0,78.1159165922
1853.0,78.1729774883
1854.0,78.5165301451
1855.0,78.1907097913
1856.0,78.101974795
1857.0,78.3279901635
1858.0,78.0722324919
1859.0,78.2745712253
1860.0,78.4746554859
1861.0,78.2895818921
1862.0,78.4797606481
1863.0,78.6228622107
1864.0,78.8335170243
1865.0,78.8572030486
1866.0,78.8115030092
1867.0,78.9897526798
1868.0,78.8422206906
1869.0,78.9784038175
1870.0,78.9913209801
1871.0,79.1855067921
1872.0,78.9752736974
1873.0,78.9239445282
1874.0,78.7044046924
1875.0,78.6148710394
1876.0,78.7293694355
1877.0,78.8486684789
1878.0,78.6912532682
1879.0,78.8396503921
1880.0,78.7372888722
1881.0,78.9967466981
1882.0,79.0475489513
1883.0,79.3131711033
1884.0,79.4332714828
1885.0,79.2837016791
1886.0,79.5024732398
1887.0,79.6326041137
1888.0,79.5244006566
1889.0,79.8062647883
1890.0,79.9716674955
1891.0,79.6702002832
1892.0,79.8585028105
1893.0,79.603322092
1894.0,79.959199028
1895.0,79.7404150678
1896.0,79.7908681515
1897.0,79.8158926188
1898.0,80.005186479
1899.0,80.0814833244
1900.0,80.2692053562
1901.0,80.131484821
1902.0,80.2298610796
1903.0,80.1848875127
1904.0,80.1072330274
1905.0,80.2437660664
1906.0,80.3715315069
1907.0,80.5539034761
1908.0,80.4892661588
1909.0,80.5187033597
1910.0,80.5652539351
1911.0,80.5104761411
1912.0,80.4581925949
1913.0,80.5769866185
1914.0,80.5282555622
1915.0,80.6715135523
1916.0,80.7297323347
1917.0,81.0353855665
1918.0,80.5012685482
1919.0,80.5107278811
1920.0,80.4282267244
1921.0,80.6615598795
1922.0,80.5376766333
1923.0,80.621776904
1924.0,80.6911284143
1925.0,80.5553111934
1926.0,80.5581545505
1927.0,80.8029819496
1928.0,80.8705770617
1929.0,81.0509912768
1930.0,80.8871672742
1931.0,81.1327406541
1932.0,81.2751460522
1933.0,81.2873057035
1934.0,81.2540772681
1935.0,81.2195785976
1936.0,81.4897394406
1937.0,81.3864732666
1938.0,81.6284268819
1939.0,81.7137629172
1940.0,81.7225076878
1941.0,81.9672066354
1942.0,82.0762724887
1943.0,82.23815913
1944.0,82.2238244216
1945.0,82.277910625
1946.0,82.3364294
1947.0,82.5614860727
1948.0,82.553550198
1949.0,82.4329956041
1950.0,82.8970150361
1951.0,82.9840501242
1952.0,82.9721944035
1953.0,82.9641715349
1954.0,83.0819440986
1955.0,82.9873462267
1956.0,83.3589451137
1957.0,83.5527705738
1958.0,83.310012664
1959.0,83.7312291761
1960.0,83.6212649909
1961.0,83.4675083188
1962.0,83.670456744
1963.0,83.6500176414
1964.0,83.6758150063
1965.0,83.8862706282
1966.0,84.0084218559
1967.0,84.1249603657
1968.0,84.2398052011
1969.0,84.1007505572
1970.0,84.472556101
1971.0,84.4877436763
1972.0,84.3388113724
1973.0,84.4269626939
1974.0,84.5057576013
1975.0,84.7010340909
1976.0,84.7971882257
1977.0,85.0520950524
1978.0,85.1011963029
1979.0,85.2683390395
1980.0,85.1149779546
1981.0,85.0014991173
1982.0,85.1023835059
1983.0,85.1830101927
1984.0,85.1225145932
1985.0,85.2426839755
1986.0,85.2331555961
1987.0,85.4530598519
1988.0,85.4943393373
1989.0,85.344100662
1990.0,85.5953225725
1991.0,85.6333028539
1992.0,85.6223489003
1993.0,85.4553234439
1994.0,85.4813154522
1995.0,85.8172365755
1996.0,85.9865838221
1997.0,86.1996303261
1998.0,86.0368146057
1999.0,86.0277905277
