t,HbO2,HHb,CCO,TOI,SaO2sup
0.0,0.0,0.0,0.0,44.87952232428452,0.9705758120450001
1.0,-0.2227511530081756,0.22746066354768146,-0.01028614472265521,44.60954283850815,0.966621244406
2.0,-0.3699964200700592,0.38273640813999776,-0.017827150842976702,44.42847204961007,0.963546368618
3.0,0.17849970533258386,-0.1690835153535133,0.006357301498583989,45.08874889603371,0.972509580258
4.0,0.0847826171300099,-0.07713160883272252,0.0025864217670141243,44.97718882215029,0.9711982112909999
5.0,0.25796555291659473,-0.2557462517555109,0.010739768126746263,45.188057015244645,0.974430287639
6.0,0.4087411401544756,-0.4154208763520657,0.018362242573431553,45.373936298085916,0.9776311990459999
7.0,0.03866887273866837,-0.046578835510544536,0.0027582422897826087,44.93021921561339,0.971923735405
8.0,0.03449051345882026,-0.043299200400824134,0.0027024884185348763,44.92568662748416,0.9719422552
9.0,0.05628174240314365,-0.06646592719832967,0.0038281068888189607,44.95259658521768,0.972414353436
10.0,0.022446269551046782,-0.03332534848475177,0.002472041302468031,44.91234019489832,0.9719459945160001
11.0,-0.09481874577270588,0.08574510575564886,-0.0028276437639359053,44.770551229003935,0.969927453993
12.0,-0.06051556868917629,0.05263405879983907,-0.0015138249865024878,44.81110199508471,0.9703574638529999
13.0,-0.26105139175024306,0.2585921743163482,-0.010951028054601297,44.5673943167496,0.966684227296
14.0,-0.44810513564846843,0.4552136624868055,-0.020459793528416204,44.33769890274169,0.9628337192649999
15.0,-0.07695979163113975,0.08612944657568278,-0.0045902752843600125,44.78218631275165,0.968507923662
16.0,-0.22488479284884733,0.23901748709320003,-0.011691702740803833,44.60193496883347,0.96571081983
17.0,-0.21968327787831043,0.23885389940470247,-0.012166978421452923,44.605481618139066,0.965325092449
18.0,-0.15179449352068985,0.17465509892510056,-0.00972994851937159,44.68499747408197,0.9660544403899999
19.0,-0.4577969558540005,0.4907723015173957,-0.024510531614279296,44.31230149332676,0.960280810448
20.0,-0.37406043298162217,0.4157724073602509,-0.022052894052574934,44.408147412708956,0.9607984100679999
21.0,0.02149319840108177,0.020728340753670693,-0.004906830140835983,44.88257580123355,0.966993311512
22.0,0.27740345933204935,-0.240384828031587,0.0067978194874318,45.19251294592031,0.971499901575
