t,Vmca,SaO2sup,TOI,Pa_CO2,HbD,HbT,CCO,P_a
130.0,48.0,0.9957966666666666,65.04100701125404,34.502852,-0.9850063695297342,-0.43616474010461836,-0.034785486810735816,88.04
131.0,47.78,1.0,65.53124895898985,34.502852,-0.5299770328829384,0.012877151946300291,-0.1674931357668191,86.34
132.0,47.44,1.0,64.83815492676361,34.502852,-0.007019553873903572,-0.0643248014740562,-0.0070344349180599675,82.92
133.0,48.78,1.0,65.87774101794818,34.502852,0.5133845458667321,0.6994961466876158,-0.14653444725893205,81.72
134.0,48.16,1.0,65.76039561868286,35.15120559279985,0.03732761116399641,0.18132122408756668,-0.13154843034994224,80.38
135.0,48.82,1.0,64.96396861280347,35.252914,-0.5114020027973639,-0.24239871324563872,-0.07892002153628613,79.94
136.0,48.0,1.0,65.32192088144653,35.252914,-0.4335711654526574,-0.30537046667272383,-0.037990934318192934,79.82
137.0,48.0,1.0,65.05321461058544,35.252914,0.31878535733942276,0.030316620848072406,-0.014643836384378673,77.04
138.0,48.0,1.0,65.24211707434479,35.252914,0.3265615378216562,0.23945584188209212,-0.1167398072742733,76.46
139.0,48.48,1.0,65.79728477421607,35.252914,0.2083835603020504,0.09228297654679782,-0.11773187688475664,74.3
140.0,52.24,0.9999383333333333,64.83776142307802,35.252914,0.06386519821520412,-0.4581342787882904,-0.04999134536315949,76.78
141.0,53.72,0.9999383333333334,65.45968116637381,35.252914,-0.4663503671435902,-0.5289121143085529,-0.08533266717688906,79.74
142.0,52.0,1.0,65.44540101929768,35.252914,-0.45909577104533167,-0.8769796542600621,-0.013682015074545154,81.78
143.0,51.68,1.0,66.04671925058,35.252914,-0.3276106196689621,-0.8135076854774616,-0.03767627231814388,84.06
144.0,47.68,1.0,65.5880841435524,35.252914,-0.4552695980976713,-1.020255913374387,-0.0618823260930495,82.72
145.0,44.24,1.0,66.06986694453825,35.252914,-0.44161385433344147,-0.42060185927331684,-0.20677809044983275,79.0
146.0,47.08,1.0,65.68250172682242,35.252914,-0.3221545288725787,-0.4378705497762468,-0.11828263267811753,76.86
147.0,48.6,1.0,66.34681718403012,35.252914,-0.10064671925975821,-0.6297675567789649,0.025035652595759204,76.02
148.0,54.0,1.0,65.41013103148424,35.252914,-0.14931231092557945,-0.4875456754066874,0.05426343775644535,75.24
149.0,54.08,0.99414,66.1515005417579,35.252914,-0.3011695161413598,0.12431855771861083,-0.10353602213849396,77.72
150.0,55.92,1.0,65.7865119059555,35.620444380000066,-0.4169608901343069,0.5087277907600679,-0.2738160156816027,79.12
151.0,54.0,1.0,65.72108515089208,36.002976,-0.5055753920738445,0.10930035057091042,-0.19473255702772796,79.04
152.0,54.04,0.9891700000000001,65.75298972296486,36.002976,-0.8803033788551555,-0.6088446940983867,-0.029522999538342143,79.16
