t,HbO2,HHb,CCO,TOI,SaO2sup
0.0,0.0,0.0,0.0,74.12375808159743,0.9705758120450001
1.0,-0.3150651338691546,0.31966690890195437,-0.009157913206357974,73.77303773014428,0.966621244406
2.0,-0.5481755586431944,0.56079111164469,-0.016139132914329182,73.50983863044381,0.963546368618
3.0,0.18684280435265066,-0.17697829501018347,0.004863103557133916,74.32145413699655,0.972509580258
4.0,0.07432137412133955,-0.06593648989986889,0.0017346509278140694,74.19875657003081,0.9711982112909999
5.0,0.32793911100441164,-0.3247269808188946,0.0091766570152324,74.4822829574833,0.974430287639
6.0,0.5687805721199624,-0.5744715058332162,0.016432202682580437,74.75484195940726,0.9776311990459999
7.0,0.09190242137482585,-0.09919833007514,0.0029429840748393526,74.23093476914448,0.971923735405
8.0,0.09007281909532594,-0.09857855274126948,0.0029439092623988333,74.22990876930744,0.9719422552
9.0,0.12456246177151797,-0.13475999403296512,0.00400071060971606,74.26927970884361,0.972414353436
10.0,0.08293504935043927,-0.09418359075117166,0.0028650011708217377,74.22428947060153,0.9719459945160001
11.0,-0.08034841336413479,0.0705190277750738,-0.0018399496308631746,74.04328555508745,0.969927453993
12.0,-0.04224604262373077,0.03334568343686328,-0.0007995865985826467,74.08449421228559,0.9703574638529999
13.0,-0.33256073054705837,0.32877232157558467,-0.00927821211537465,73.76058600716162,0.966684227296
14.0,-0.6262588322098424,0.6318177445060549,-0.018041138419283925,73.42956315687152,0.9628337192649999
15.0,-0.14965274115041893,0.15766171021298092,-0.004614342907350353,73.95242253778501,0.968507923662
16.0,-0.36712790527261063,0.3803755564656264,-0.011025036621031534,73.7086858746207,0.96571081983
17.0,-0.38430176126250615,0.40303335581900157,-0.011759239206239946,73.68532549111067,0.965325092449
18.0,-0.3122186299589629,0.33526574243127527,-0.009905703783663471,73.76118943606879,0.9660544403899999
19.0,-0.7622982536216085,0.7958836422464621,-0.023156822020954704,73.25714209969098,0.960280810448
20.0,-0.6937286062050845,0.7368814781124087,-0.021637624873408104,73.32490685249778,0.9607984100679999
21.0,-0.17510614982492712,0.22013990725750432,-0.006998621348342088,73.89426508866865,0.966993311512
22.0,0.18812317670813172,-0.1469353852346842,0.003489715275482738,74.29723699729003,0.971499901575
23.0,-0.13652680339856715,0.1785315612782341,-0.005764860332035424,73.93919677479546,0.967555856671
24.0,-0.38312889275127304,0.4297057390556951,-0.012971103456336314,73.66403174854581,0.9644329493179999
25.0,-0.4405662151197163,0.49256794898472833,-0.014844472442578915,73.59641367743983,0.963564431699
26.0,-0.3697508156427176,0.4260572533203373,-0.013026873148113016,73.6708675452133,0.964278917479
27.0,-0.17796733862996916,0.23565455308417427,-0.0076451034297010945,73.88082523427364,0.9665468747939999
28.0,-0.6315115802646574,0.6969102068255175,-0.020860459929023148,73.37542607592167,0.96082754064
29.0,-0.03425445815776129,0.09885658040690615,-0.0038762525621962446,74.03336154634344,0.968055684473
30.0,-0.44758047881946084,0.5170183040201444,-0.01582003777686508,73.57457329504099,0.962914209395
31.0,-0.4485600080150789,0.5229724152954098,-0.016070663561427834,73.56946792998075,0.962742006344
32.0,-0.3231331362971446,0.40059557280151736,-0.012647725058302722,73.70501384934461,0.964155315404
33.0,-0.6327520018220127,0.7175067941570461,-0.021756606994796354,73.3584344432793,0.9601874164659999
34.0,-0.25727435586092895,0.343968078783913,-0.011191175671971254,73.76998899542541,0.964650643249
35.0,-0.12688194552012533,0.2133450745139278,-0.007480516654947894,73.91364085352791,0.9662291201369999
36.0,-0.39779695727624187,0.48786534783271307,-0.015326302093407143,73.61264569244392,0.962847185707
37.0,0.0041371256968432135,0.08378009022377242,-0.003828589545122482,74.05661022913662,0.967761397238
38.0,-0.23272778400279037,0.3217558918611445,-0.010596876148660839,73.79510101681987,0.964869968378
39.0,-0.03926721823140156,0.126706666484381,-0.005038263913763538,74.00924425029909,0.967253473339
40.0,0.10923354236524574,-0.025655671476609854,-0.0006512036076534167,74.17578244717319,0.969168367686
41.0,-0.09288216478839217,0.17558282481605048,-0.00634675219866325,73.95411068408069,0.9667602356139999
42.0,0.09038927566996335,-0.011112353915127215,-0.0009937282532947733,74.15855771386579,0.969080930021
43.0,-0.04592366940040904,0.12375998741082128,-0.0047970712957796785,74.00974023984776,0.967484079043
44.0,-0.0176805238976101,0.0937864184404198,-0.003918689570165251,74.04222763395914,0.9678809504260001
45.0,-0.5530798903104284,0.6352054186219931,-0.019378238354118213,73.44822039557418,0.961232124712
46.0,-0.03240539781599239,0.11322050844852072,-0.004548622966122698,74.02218892290514,0.9675514616069999
47.0,-0.09868090648384964,0.1788669226195907,-0.0063994553686622085,73.94977642143068,0.9667720909909999
48.0,-0.027934449492008184,0.1065129295479963,-0.004320397210887892,74.02893026665194,0.967677191866
49.0,0.024387926743202115,0.05180934558262962,-0.0027288511580507158,74.0884443695987,0.968385125216
50.0,0.07116778054631823,0.001985014045271072,-0.001264755844263471,74.14240370419441,0.969047913448
51.0,-0.16544333434455893,0.2390757774427641,-0.008000860119270245,73.8816434297586,0.966179591482
52.0,-0.14778921281462942,0.22178174043162358,-0.007516755764321939,73.90077735520521,0.9663811447859999
53.0,-0.37075999143507943,0.4483131330390542,-0.014002155867129565,73.652533537919,0.9635777880159999
54.0,0.024529333068599612,0.05088409539968097,-0.0026908658263148783,74.08923900766014,0.9684128542460001
55.0,-0.2586312269814357,0.335846410198112,-0.010805100223872252,73.7761900457383,0.964940138179
56.0,-0.5341881160841808,0.617273707505209,-0.018885624711997367,73.46823103544374,0.961429166921
57.0,-0.3261428067565362,0.4121437178130911,-0.013113769814234122,73.69477819002645,0.9638428625830001
58.0,-0.04223010597266352,0.12682358748571332,-0.0049955031784812975,74.00830174364002,0.9673101506380001
59.0,-0.28896550264603604,0.3755989112288347,-0.012085733235928597,73.7351697226815,0.964269726639
60.0,-0.585696833650573,0.678696355555374,-0.020787554189066443,73.40354925060349,0.9604884553569999
61.0,-0.31165514446956877,0.40713000084474515,-0.01312465899179853,73.70303571861452,0.963711269074
62.0,-0.17656878359589712,0.2723378183736145,-0.009305141321129114,73.85141120154172,0.965329195194
63.0,-0.17602895750900416,0.2719931119274328,-0.009298103311965273,73.85184655654218,0.965329177508
64.0,-0.5936240717308578,0.6957498478813022,-0.021417082040474655,73.38745946093752,0.960098604086
65.0,-0.41086527177982646,0.5166479410467026,-0.016396846677795132,73.58554559787837,0.9621831888869999
66.0,-0.4213255061436172,0.5307087836930435,-0.016852824194333302,73.57112517441179,0.961940824946
67.0,-0.6892104950722597,0.8058837630218214,-0.024773709255742557,73.27058267693846,0.958479414673
68.0,-1.0572876673085148,1.1862809119250777,-0.035761609663568825,72.85586667432466,0.9536519755689999
69.0,-1.222717726730508,1.3661314933479396,-0.04109325978401861,72.66241342595913,0.951199891152
70.0,-1.1244275476856131,1.2806324426918998,-0.038866099602781534,72.76025632068163,0.9519752075669999
71.0,-1.4786077975212208,1.6519267409016436,-0.04967262966681747,72.35725281100709,0.947168839181
72.0,-1.6643025385476307,1.85687490371863,-0.05579229411407473,72.1378697588072,0.9443256542399999
73.0,-1.5729149038530892,1.7831048723556755,-0.053964321348691835,72.22431855182505,0.944868163378
74.0,-1.1150575212210327,1.3362574828864346,-0.04144898100692056,72.7185958646934,0.9500240284999999
75.0,-1.0864096428891088,1.3176960603970542,-0.041076016675046734,72.74200842388088,0.950048868423
76.0,-1.5035520224656125,1.750184945884854,-0.0535799793671327,72.27159257575778,0.944552819874
77.0,-1.3830093819956488,1.6431820159930055,-0.05074786124813967,72.39322118504455,0.945575521275
78.0,-1.1664015412913926,1.4367916249677002,-0.04504805103366083,72.6229415358457,0.9478554531219999
79.0,-0.9525244951082499,1.2298479738988277,-0.03928803668134226,72.85223893907138,0.950205091153
80.0,-0.7814799810960409,1.0630903735650747,-0.034629953620142,73.03659919212653,0.952123324332
81.0,-1.5362537752118044,1.83207779897133,-0.05664190697705462,72.19666962557501,0.942617342332
82.0,-1.1498106087692435,1.4547072737031783,-0.046075997416996944,72.61364609167944,0.946971803767
83.0,-1.383135754287352,1.699764088651289,-0.05319797643194564,72.34822861550563,0.943805062691
84.0,-1.0727478832918536,1.3967533894197857,-0.044719935964162405,72.68298668704159,0.947298174629
85.0,-0.9534614831041353,1.2828666869929037,-0.041574805156755754,72.8095754649746,0.9485597325239999
86.0,-1.009489992133652,1.3448418761769112,-0.04341833320861918,72.74334744071635,0.9477017694679999
87.0,-1.2908881788271884,1.6358201908451662,-0.05180460910334875,72.42697027940608,0.9440287245550001
88.0,-1.0964107694201033,1.4481944821350687,-0.04659080848688596,72.63487780542069,0.9461471935770001
89.0,-1.1631437771644642,1.5223834944258776,-0.04880221828647649,72.55573351797193,0.9451148376440001
90.0,-1.181089321446919,1.5478468647652477,-0.049634819288327275,72.53006656960669,0.944665967544
91.0,-0.76703861646169,1.1355010400190366,-0.037988459090555815,72.9828618621027,0.9495750775749999
92.0,-0.9893792870123974,1.3623186613763352,-0.044471899930029354,72.7354157455959,0.946770789524
93.0,-1.0271922186267801,1.405107230046017,-0.04575723580860762,72.68997577870742,0.946163181417
94.0,-0.8188086735071209,1.1987448696419278,-0.03994781846634164,72.91690126483594,0.9485971402519999
95.0,-1.5481936908911393,1.9397328582211628,-0.061106341026430186,72.10780002065623,0.939498620715
96.0,-1.0991912510398976,1.4964210648218206,-0.04862804562796447,72.59563369811386,0.944701603943
97.0,-1.5882083107632212,1.9972038668724252,-0.06299080395551362,72.05012910415326,0.938480557507
98.0,-1.47067811824094,1.8898008289005048,-0.06009210582796548,72.1709716645501,0.939576063571
99.0,-1.2146854026349274,1.6402145551342926,-0.053112749370778596,72.44651347008241,0.942443147605
100.0,-0.614463568140323,1.0379457025641976,-0.03604688160081694,73.10609549075403,0.949691526748
101.0,-1.0365394839702304,1.4634940853801304,-0.04812922462175541,72.64065559854333,0.94453089677
102.0,-0.9531557370787738,1.3825720106087296,-0.04587678100335782,72.73009392311477,0.945453328484
103.0,-1.2330298095796195,1.6685500524337442,-0.05405907032974516,72.41847380978201,0.941914886012
104.0,-1.4263449039541598,1.8704807410937114,-0.05990480182031374,72.19977407593012,0.939336205816
105.0,-1.4895207510431163,1.9429406104006404,-0.062092600573509696,72.12319875761604,0.93829507131
106.0,-1.1244736862945075,1.58212062356775,-0.05193394175779424,72.51986870581217,0.942532810882
107.0,-1.079061705236768,1.5400304151677098,-0.05079020789411903,72.56698878419313,0.942973533875
108.0,-1.3565664465006506,1.824425621679822,-0.058940440275765046,72.25746063402823,0.939442181422
109.0,-1.411395834873403,1.8867978058937922,-0.06081606322096314,72.1914203818598,0.9385552850929999
110.0,-1.5354025940076639,2.0197719673947567,-0.06471285717681728,72.0484845858893,0.9367977465970001
111.0,-1.3242388796938087,1.814610125168457,-0.05898549204976697,72.27505352920032,0.939139191303
112.0,-1.1692319392875845,1.6632803107559653,-0.05475386884101413,72.44192801848405,0.9408796422
113.0,-1.1997029913877668,1.6976530290226748,-0.05578200865342464,72.4054574534146,0.9403957408120001
114.0,-1.1875314124194176,1.689122761655394,-0.05559270113595133,72.41590074811383,0.9404298053869999
115.0,-1.3779831322495824,1.8856193111495934,-0.061241482286801235,72.20252808644184,0.937968502016
116.0,-1.2853463321223444,1.797721607980396,-0.05882032749964178,72.300229413105,0.938931109348
117.0,-1.4103946576515227,1.9289709842632021,-0.06262459334305365,72.15838608965456,0.9372473548
118.0,-1.34138816283172,1.8651374802965393,-0.06089028407981971,72.22985987532276,0.9379143129749999
119.0,-1.3880750427041164,1.9174267440497914,-0.06244997989600675,72.17431088183723,0.937185682236
120.0,-2.107415941428769,2.6514329218931927,-0.08348671280686336,71.37523066857814,0.9281463364110001
121.0,-1.7648258644395298,2.3190578545945506,-0.07418571699730082,71.74225569147417,0.9319300051170001
122.0,-1.542471487373021,2.103611856927852,-0.06817141883288236,71.98020601672171,0.934375831084
123.0,-1.6041779098263618,2.172721822766942,-0.07023293308034646,71.90683911589187,0.933414583011
124.0,-1.5589191353802505,2.1340907027460254,-0.06923024635039904,71.9511534393982,0.9337543537999999
125.0,-1.787832937905435,2.372353717131219,-0.07611657383159033,71.69330198825007,0.930739177063
126.0,-1.3029333186578924,1.8903554581939659,-0.062499100368521195,72.22161387545961,0.9364391042319999
127.0,-1.1858631313724999,1.7743373609281008,-0.059230949161941195,72.34888178556031,0.9378039629770001
128.0,-1.4564060159186027,2.049399920840628,-0.06707757480956841,72.04928796876186,0.9344385872550001
129.0,-1.243804252161496,1.8385223954697523,-0.06113371672422034,72.28054373545562,0.9369235852600001
130.0,-1.3536479266713712,1.9513859260727564,-0.06436866665422317,72.15797574298345,0.9355214027169999
131.0,-1.3234455497927087,1.9237686020105933,-0.06362323459937562,72.18897840302381,0.935803706169
132.0,-1.4011287974435476,2.0049634205085702,-0.06596990772405179,72.10121760749087,0.9347707383789999
133.0,-1.702160685671842,2.3133291088405343,-0.07480838397111855,71.76612290010002,0.930958221692
134.0,-1.6385278354529902,2.256127804708427,-0.07327536805749767,71.83067949374393,0.931523931055
135.0,-1.7492847098235131,2.3745141452851506,-0.07673683766531803,71.70354278864285,0.929973352129
136.0,-1.900245516173655,2.53483882212738,-0.08141485610365694,71.53110026462043,0.927891933245
137.0,-1.9033847647230004,2.547164121097694,-0.0818897562912811,71.5204817707231,0.927579340237
138.0,-2.1977362301047805,2.85410492319086,-0.09078484259889845,71.18879375218853,0.923693392953
139.0,-2.4776297668963423,3.149758897100984,-0.09941943825360812,70.87054618416103,0.919887395168
140.0,-2.255366213556286,2.9401661520567473,-0.09361538433054363,71.10367752908499,0.9221599705689999
141.0,-1.7839194660232067,2.4750276265598075,-0.08048157978253814,71.61405800024073,0.92758912951
142.0,-1.575500194970644,2.269870014956979,-0.07470937248551959,71.83929553158201,0.92997417681
143.0,-1.789892182406149,2.4900748922664313,-0.081028912297796,71.60042836714841,0.927247146631
144.0,-1.6854176756162502,2.389998935715724,-0.07825057277632935,71.71115862157744,0.928360550104
145.0,-1.9704531066458628,2.682861857875409,-0.08666446831714719,71.39355879546584,0.924733179214
146.0,-1.7341364896866054,2.4512694398571746,-0.08015586478409628,71.64808987226392,0.927406931694
147.0,-2.0557659513851405,2.7814318237069138,-0.08964098003831743,71.2900077037509,0.9233240212980001
148.0,-2.7371559963626595,3.4795387539525215,-0.10975943398093997,70.53265935799405,0.914717482946
149.0,-2.2553853979898264,3.008391828462827,-0.09645774161149401,71.05068569915862,0.920139889375
150.0,-2.2072155873216985,2.9697431342051317,-0.09548148086176918,71.09590532063663,0.920432065265
151.0,-2.2907243655541976,3.063489532083718,-0.09828319366199205,70.99676489185582,0.919136921988
152.0,-2.500144901271625,3.2854142347560753,-0.10477026225414139,70.75841426476792,0.916278154286
153.0,-2.5161371099480476,3.3137955800957144,-0.10573983366194982,70.73138507080529,0.915724816206
154.0,-2.6612627948808694,3.472677296529085,-0.11045239371436735,70.56235301046281,0.91359647918
155.0,-2.885882004156457,3.7133471676950762,-0.1175407469386513,70.30485316131279,0.9104575707170001
156.0,-2.873009866581384,3.715951080122224,-0.11781106383095151,70.30702647287426,0.9101604521760001
157.0,-2.6908087017590248,3.5465746138986596,-0.113127483169887,70.49597400647117,0.9119529501279999
158.0,-2.208895256369999,3.0711887034430987,-0.09965515775887375,71.01669303138179,0.91748775496
159.0,-1.8428511747115124,2.7067428565202185,-0.08932289088442258,71.4147803670334,0.9217879499439999
160.0,-1.9144136895697415,2.7806074483175145,-0.091447332858578,71.33491974870836,0.920870726709
161.0,-2.1674866608176586,3.039080994426751,-0.09885904468082883,71.05465765118406,0.917708113823
162.0,-2.2598842393948786,3.1379426060815376,-0.10175411386407951,70.948864847602,0.916422922164
163.0,-2.3365995229104186,3.2218915600418967,-0.10423589599694809,70.85959645902908,0.915301828925
164.0,-2.042371443100862,2.931084697844142,-0.09600774266063422,71.17784549203044,0.918695365079
165.0,-2.0325749719449533,2.924368931152273,-0.0958556352446134,71.1861380029479,0.918721864548
166.0,-2.453379851624817,3.353309606173301,-0.10816477674236788,70.720937449723,0.9134906937839999
167.0,-2.460694734442569,3.368749076491639,-0.10870742757695828,70.70669614146786,0.9131687756319999
168.0,-2.0832298134061062,2.994545953050551,-0.09809702255393385,71.11575329839377,0.917553710338
169.0,-2.323186766529048,3.2404648140789476,-0.10516678401531636,70.8495086856783,0.914533474153
170.0,-2.5893313036229557,3.5156881359772534,-0.11312797685881269,70.55235113829694,0.911113160324
171.0,-2.360918176535108,3.29340887802287,-0.10686558109544994,70.7966281773557,0.9136461400579999
172.0,-2.358825805922777,3.297148924113575,-0.10704442564317855,70.79440800787278,0.913502419473
173.0,-2.2915157446305017,3.2346679085341634,-0.10532527426972825,70.86404829074263,0.914161364621
174.0,-2.3865379217296265,3.3354968178550877,-0.1082690386827755,70.75599775943702,0.912866867366
175.0,-2.8247927269682265,3.7846515587117437,-0.12122977957122451,70.2699911765678,0.9073557084880001
176.0,-2.712556209650259,3.681792625624265,-0.11840300743150936,70.3851113947901,0.9084177973340001
177.0,-2.903223285324941,3.883751133861736,-0.12432009313436801,70.16871374207706,0.905833415468
178.0,-2.938526065969114,3.93046370110757,-0.12579726619850767,70.12153303608625,0.9050886917990001
179.0,-2.5017666633529956,3.4995833289480203,-0.1135495256013111,70.59281763917134,0.910097039329
180.0,-2.5082758988361746,3.5117104756397346,-0.1139634222612283,70.58140751642503,0.909858829234
181.0,-2.347264600970476,3.354198338949505,-0.10951635117773087,70.75409449916583,0.911666223678
182.0,-2.510653094834339,3.522887895002089,-0.11438929904740225,70.57205325168027,0.909578781646
183.0,-2.263084854333499,3.2775172113129543,-0.10742495401579308,70.83999898458801,0.912448549952
184.0,-2.6601263813513185,3.6813768359052865,-0.11902354221094853,70.4023398666535,0.907550450203
185.0,-2.7747157507417484,3.804063525003766,-0.12262950374553792,70.27134921682588,0.9059623489669999
186.0,-2.721227577229783,3.757819072017533,-0.12139429965416107,70.32404827984959,0.906389581292
187.0,-2.5129726446176335,3.554077079334345,-0.1156296944410189,70.54734424318875,0.908727115749
188.0,-2.7688498556498047,3.8172945681428523,-0.12323725880136097,70.26312518845552,0.9054882644660001
189.0,-2.799250864934905,3.8552457104118076,-0.12441382460003346,70.22425422290766,0.904913862641
190.0,-2.5045107229339436,3.564321607427086,-0.11614749126978925,70.54218976406844,0.908294562095
191.0,-2.601317847144628,3.665877566990659,-0.11910264212295125,70.43316489589876,0.907013571172
192.0,-2.8961219245238965,3.968794015064688,-0.12786349017525311,70.10606833386822,0.903293978346
193.0,-2.6430031293428726,3.7206397156564037,-0.12082365914975352,70.37777078765285,0.9061491184980001
