CBF,CCO,CMRO2,Dpsi,H,HHb,HbO2,HbT,J_O2,L,O2,O2c,P_a,Pa_CO2,R_Hi,SaO2sup,TOI,Vmca,XOv,a,bred,eta,f1,f2,f3,mu,r,t,u,v_c,v_o,v_p,v_u
0.011720875231468727,-0.023287325521824165,0.033869594085038555,144.82059555873022,0.00003981575734935868,25.34268042961554,66.40908481660557,91.75176524622111,0.033869594085038576,10.11032659254883,0.022637819682580138,0.06287254095621339,88.3496135426,40,240243.64874797006,0.96,72.37908135978964,58.60437615734363,5.846318690697773,0.06532406976833098,0.00145876785119191,-0.5013571748192662,0.5055163296274412,0.5055163296274419,0.5055163296274411,-0.2455564385495032,0.01900645614885921,0,1,40,0.06287254095621339,88.3496135426,1
0.011853435272517015,-0.019047943928999278,0.03389310927286585,144.85327901982458,0.00003981483906997516,25.116152106287174,66.6959028944178,91.81205500070497,0.03389082143824717,10.117409154674753,0.02287885743690028,0.06313879532923822,88.8676005655,40,240249.18966675756,0.96,72.64394952700457,59.267176362585076,5.876844012498804,0.0653873441204627,0.0014493734880383037,-0.4972899358343526,0.5058698624134383,0.5058676397295967,0.5058673025800873,-0.24364449004213462,0.01903081943827314,1,1,40,0.06288590971595935,88.44350866015235,1
0.011803314309081965,-0.02064286335591936,0.033884267966098676,144.84098170736593,0.000039815184574649006,25.200915976340653,66.57908699419988,91.78000297054054,0.03388293377202313,10.114743831588093,0.022787825785528217,0.06303839367918158,88.7391356964,40,240247.10485366985,0.96,72.54204057453602,59.016571545409825,5.865371218997462,0.06536353935289672,0.00145290383898017,-0.4949565855519292,0.5057368416042233,0.505735537138472,0.5057353427775921,-0.24254676027845162,0.01901787099253535,2,1,40,0.06289405829602537,88.49709675038018,1
0.011763002411669067,-0.021935390101380584,0.0338771051802674,144.8310159655649,0.000039815464573794816,25.269680343754544,66.48667006976567,91.75635041352021,0.03387654719720669,10.1125842736716,0.022714364805045954,0.06295734589216755,88.6197613421,40,240245.41533466554,0.96,72.4600202276233,58.81501205834533,5.8560764897048365,0.06534424790893462,0.0014557683776112902,-0.49398659334916983,0.5056290665694226,0.5056285172590984,0.5056284355263791,-0.24209024231287063,0.019008310127275285,3,1,40,0.06289751728469982,88.51933206854541,1
0.011800094059299548,-0.020749235591678017,0.03388368752473912,144.84016011414087,0.000039815207658161795,25.20617251575878,66.56484251156654,91.77101502732532,0.03388252562720488,10.114565779636933,0.022781771514580693,0.06303185456058692,88.7807730742,40,240246.96556652183,0.96,72.53362348857806,59.000470296497745,5.864622411377898,0.0653619517075869,0.0014531395148074345,-0.4919310816483559,0.5057279848922771,0.505726848229072,0.5057266794737182,-0.24112248040626558,0.01901423844155545,4,1,40,0.06290437963713953,88.56672328275347,1
0.011826169452718702,-0.019920460025688563,0.03388828937565179,144.84654900504958,0.000039815028155647726,25.16164058768112,66.616504928933,91.77814551661412,0.03388672923918516,10.115950418410442,0.02282900879869009,0.06308408544325982,88.9166249321,40,240248.04869859185,0.96,72.58427870159325,59.13084726359351,5.870598031064458,0.0653743214921539,0.0014513042952066443,-0.4891780144829762,0.5057971132917697,0.5057955898832063,0.5057953638156983,-0.23982554890615448,0.019017120344174774,5,1,40,0.0629136522092198,88.63014969123724,1
0.011814675116575758,-0.020288412273398268,0.03388625428407281,144.8437113035381,0.00003981510788367958,25.180970068329074,66.58567104509048,91.76664111341955,0.033884967805172264,10.115335395645188,0.022808024552884845,0.06306100873640018,88.91711343,40,240247.56761226276,0.96,72.55977797290575,59.07337558287879,5.867959410161029,0.06536882966756122,0.0014521189595268279,-0.48691717730929734,0.5057664328783609,0.50576517641775,0.5057649893145195,-0.2387598593490129,0.019012470437314143,6,1,40,0.06292138450931173,88.68216739182158,1
0.011878759773082257,-0.018260764722303702,0.033897510183767784,144.8593430511725,0.0000398146686962588,25.07232932286135,66.71815808000812,91.79048740286947,0.03389518547377146,10.118723685379877,0.022923952176153672,0.06318907423906381,89.2048311945,40,240250.21773377512,0.96,72.68526398294563,59.393798865411284,5.882572023100456,0.06539909306384621,0.0014476330234884378,-0.48280793292054847,0.5059355799931659,0.5059333222171718,0.5059329878174296,-0.23682141530514875,0.019022107485313824,7,1,40,0.06293510076488626,88.77691026572225,1
0.011948140079327952,-0.016090104536318955,0.03390956665689931,144.87607752693313,0.00003981419853209487,24.95581736253783,66.85652282118545,91.81234018372328,0.03390615116663555,10.12235202465397,0.0230488240518556,0.06332697259494294,89.5435922814,40,240253.0548382871,0.96,72.81866760764468,59.74070039663976,5.89822349930815,0.06543149097706986,0.0014428392904736254,-0.4767788490687711,0.5061167185666688,0.5061134225360107,0.5061129351776016,-0.23397391787650537,0.019030934607559218,8,1,40,0.0629552782865346,88.91588613732749,1
0.011928943050507018,-0.016694069593387276,0.033906226834351676,144.8714189951849,0.00003981432941550983,24.98737981957663,66.80255076198846,91.78993058156509,0.03390330095365689,10.12134186353413,0.023014003329117183,0.06328876601749132,89.5688374566,40,240252.2650437286,0.96,72.77764602145255,59.644715252535086,5.893895653824795,0.06542247657323302,0.0014441722832470875,-0.4716373196109297,0.5060663343545423,0.506063507623721,0.5060630870798757,-0.2315424293987774,0.01902188251169377,9,1,40,0.06297275490831857,89.0342461312237,1
0.012002216401706246,-0.014421909845620098,0.03391885354683294,144.88893588846312,0.00003981383727323431,24.865288685295752,66.94578148452878,91.81107016982453,0.03391481635960349,10.12514067257589,0.023145337474910814,0.06343377966435755,89.9400198215,40,240255.2348226957,0.96,72.91689483708011,60.01108200853123,5.91028721619963,0.06545638940528925,0.0014391613344773464,-0.46451585152441544,0.506255995066715,0.5062521187868256,0.5062515454751184,-0.22816982673504493,0.019030421715440626,10,1,40,0.06299653234755749,89.19843504593773,1
0.011965638289906823,-0.015560909520225236,0.03391254453870164,144.88015156417956,0.00003981408407063678,24.92532614409278,66.85310258208631,91.77842872617909,0.03390932527542225,10.123235510747316,0.023079396643386048,0.06336131580687128,89.9159985811,40,240253.74554147897,0.96,72.841846945912,59.82819144953412,5.902108133993918,0.06543938941014589,0.0014416721431071717,-0.4588661059077605,0.5061609444091826,0.5061578504664705,0.5061573811746514,-0.22549030099436243,0.01901723479888538,11,1,40,0.06301571434386026,89.3285072475387,1
0.01207322855731551,-0.012251436183385367,0.033930936227402106,144.90566696955992,0.000039813367214260295,24.74770574579837,67.06590603799637,91.81361178379474,0.033926031983559715,10.128770152074196,0.02327162059821503,0.0635733861685873,90.4298434349,40,240258.07141094792,0.96,73.04571156172905,60.36614278657755,5.925978496740458,0.06548878453457634,0.0014343837837298937,-0.45021202191203863,0.5064372538079779,0.5064325760794537,0.5064318839910762,-0.22137928575165633,0.019031448126401732,12,1,40,0.06304441275001844,89.52814562882625,1
0.012001175964152998,-0.014471775413030907,0.03391862325796988,144.88854431431574,0.00003981384827454531,24.86538226988131,66.89635937030741,91.76174164018872,0.03391518348995795,10.12505574096513,0.023142456532893235,0.06343133484765773,90.2935277943,40,240255.16843568833,0.96,72.90223373551243,60.00587982076499,5.9100116527634965,0.06545564514308909,0.001439271439922526,-0.4441853015952517,0.5062519007807015,0.5062485993319195,0.5062481083279086,-0.21851170245048082,0.01901048979854422,13,1,40,0.06306489339143832,89.66688587756428,1
0.01200960245236753,-0.014217286457025927,0.033920051415701646,144.89050418792658,0.00003981379321168239,24.851031299507966,66.90077847617646,91.75180977568442,0.0339166528484306,10.125480839272715,0.023157221945821455,0.06344784575621987,90.4271197264,40,240255.50071091257,0.96,72.91494155781344,60.04801226183765,5.91187214553592,0.06545944348571603,0.0014387108506230765,-0.4382078690128097,0.5062731676857836,0.5062699067321024,0.5062694241149499,-0.2156638381103739,0.019006474154887317,14,1,40,0.0630848606982975,89.8046928948216,1
0.011945686026476587,-0.01620497247736205,0.03390903012005354,144.87517643130195,0.00003981422384870953,24.95655480274681,66.75306402606518,91.70961882881198,0.03390690606595431,10.122156623679643,0.023042219140686004,0.06332126445164142,90.2766383284,40,240252.90206890908,0.96,72.78741846116328,59.72843013238293,5.897577326720757,0.06542977653018862,0.0014430932668554365,-0.4344924054990286,0.5061072810605016,0.5061052303924178,0.5061049271649782,-0.21389180319346854,0.018989406078644477,15,1,40,0.06309745942230915,89.89024208815167,1
0.011943641968788943,-0.01627243335345871,0.03390866550633813,144.87465482847654,0.00003981423850334959,24.959693814715465,66.74058626484864,91.70028007956411,0.03390669786784645,10.122043516445444,0.023038330046803522,0.06331712803289231,90.330594181,40,240252.81363775066,0.96,72.78122401255581,59.71820984394471,5.897108985128947,0.06542876965144091,0.0014432421799314378,-0.43103189844968876,0.5061016653153229,0.5060997660081643,0.5060994851692258,-0.21224009862830015,0.018985626073627238,16,1,40,0.06310894719245039,89.97006438037963,1
