t,Vmca,SaO2sup,TOI,Pa_CO2,HbD,HbT,CCO,P_a
60.0,43.76,1.0,64.79424590471132,34.502852,-0.8387853516358501,-0.4099667545899375,-0.14795259898014956,75.42877880583086
61.0,44.0,0.9924833333333334,65.5347899496674,34.502852,-0.6255300149287963,-0.1685112251040173,-0.1872547302188844,75.41186732689354
62.0,44.0,0.9949683333333332,65.01820060045827,34.502852,-0.6194129235330345,-0.12766590208325584,-0.11408655147968963,75.40328664902243
63.0,53.02,0.9924833333333334,65.95674453446516,34.502852,-0.5259698279868857,0.09329699610668075,-0.16224671805761975,75.40559714225982
64.0,55.82,1.0,66.02318156770848,34.502852,-0.36903958832693,-0.12720170423034874,-0.11870091875137344,75.42070637256437
65.0,56.0,1.0,64.99118233879958,34.502852,-0.22575701401068446,-0.16281747240273142,-0.07959374484898864,75.44953426394456
66.0,55.22,1.0,66.123103470514,34.502852,-0.2460505411267677,-0.12957901501359323,-0.09564643303867279,75.49202889818537
67.0,50.32,1.0,66.04786142071434,34.502852,-0.6517857952757934,-0.5585848825842594,-0.038312274631056964,75.54741835065008
68.0,45.88,1.0,65.73283506594767,34.502852,-1.0491284941291052,-0.8042261900854634,-0.022349344184944005,75.61451575960973
69.0,45.78,1.0,65.4345880598982,34.502852,-1.1272672833710788,-0.6409412818497126,-0.0742569576933441,75.69194916475759
70.0,47.56,1.0,65.2005869061595,34.502852,-0.8473943729844737,-0.5188105211032431,-0.028173407881633326,75.77819608982583
71.0,50.96,1.0,64.54705732429144,34.502852,-0.4277363819006883,-0.0555618800720818,-0.11898417322979787,75.87143914474633
72.0,52.74,1.0,65.38145642373807,34.502852,-0.3314028866331646,-0.029629887672017047,-0.07605199740473871,75.96937529599231
73.0,50.04,0.9974533333333333,65.34263193240565,34.502852,-0.1772283781924857,0.03788255437853197,-0.050225097658320936,76.06912109874216
74.0,49.0,1.0,66.00589631438062,34.502852,-0.2583636965882754,-0.26053500627574894,-0.0025258092282876557,76.16731580266516
75.0,46.28,1.0,66.40598572858295,34.502852,-0.11289998711319583,-0.4530458064190535,0.001664349019890335,76.26043570444372
76.0,45.68,1.0,66.54727567229752,34.502852,-0.23328592523519018,-0.5584953802249437,0.0009193734997184691,76.34514777145829
77.0,46.0,0.99414,66.31380830150714,34.502852,-0.5221708791292653,-0.2980200258179493,-0.09596752308012793,76.41851996131423
78.0,50.2,0.9974533333333333,66.23145136976552,34.502852,-0.5336176729691477,0.008228294106641179,-0.163027889384868,76.47805748094056
79.0,53.4,0.9966249999999998,65.8273653836216,34.502852,-0.22442636847259628,0.2899972142644615,-0.17639670131410332,76.52169585983903
80.0,50.8,0.9949683333333332,65.61328628449836,34.59885993600002,-0.22105898160508272,0.1893475059734324,-0.12367383361561832,76.54778270609887
81.0,47.72,1.0,66.04189561595916,35.252914,-0.36151909468621435,-0.2354052216624931,0.034951604446899036,76.55515695280383
82.0,48.28,0.9974533333333333,65.15737522343203,35.252914,-0.6997559690637638,-0.5300532028744152,0.011788432491489795,76.54334458746547
83.0,49.0,0.9957966666666668,65.7095923732534,35.252914,-0.47259154223983324,-0.15230866564585008,-0.12126121854763926,76.51266688037917
