CBF,CCO,CMRO2,Dpsi,H,HHb,HbO2,HbT,J_O2,L,O2,O2c,P_a,Pa_CO2,R_Hi,SaO2sup,TOI,Vmca,XOv,a,bred,eta,f1,f2,f3,mu,r,t,u,v_c,v_o,v_p,v_u
0.009720807312806076,-0.10252375918651374,0.03343728961736823,144.20923057162463,0.00003983293827444204,29.44958989902171,60.35633074965812,89.80592064867983,0.03351391273164064,9.978582838226997,0.018635327827176088,0.05844752439973782,87.1559260143,40,240140.02575881704,0.96,67.20751851737224,48.60403656403038,5.288352923590066,0.06414143643005203,0.0016407805628479261,-0.1003213693606928,0.4989542609341215,0.49904892486343666,0.4990640241398243,-0.05011865730704445,0.018202632211100918,0,1,40,0.0640809099714043,97.67176438120441,1
0.009774814799237834,-0.10000783911228191,0.033451057400087636,144.22862441219107,0.0000398323931445188,29.319034576586063,60.54668401494476,89.86571859153082,0.03352683945764957,9.982740602353465,0.018749105513255097,0.058576658136929936,87.1559260143,40,240143.31221749206,0.96,67.37461733338972,48.87407399618917,5.30607922227669,0.06417898747593609,0.001634810810485926,-0.10929747391080857,0.4991617274273669,0.4992546007486016,0.4992695134341438,-0.0545943993314774,0.018227862544331716,0.1,1,40,0.06405313646792928,97.46353683024807,1
0.010166024667816935,-0.08890996744925272,0.03352950178075518,144.31108062930105,0.00003983007551480458,28.518377677997982,61.60010564628724,90.11848332428522,0.033769688261675423,10.000433642277999,0.019262987867997905,0.05937902797448942,88.4963314059,40,240157.2856601461,0.96,68.35457430483318,50.83012333908467,5.414181553996458,0.06434462735150369,0.0016087622645185522,-0.11695737344176405,0.5001072607026683,0.5003947959708359,0.5004403250858982,-0.05841211681834886,0.01833412710942587,0.2,1,40,0.06402920941003037,97.2859742661151,1
0.010473561436652621,-0.07689007304194609,0.03359754099834573,144.40335064499592,0.00003982748220464038,27.859371378301326,62.45578074090225,90.31515211920357,0.033859998125493826,10.020262481235367,0.019835644105970007,0.06005896604730933,89.5075680849,40,240172.92316207575,0.96,69.15315899426179,52.3678071832631,5.503097960862242,0.06452402876056797,0.001580697700796847,-0.12359442368813478,0.5011044310077709,0.5014082071867314,0.5014558357962049,-0.06171866612918953,0.018416384301759105,0.3,1,40,0.064008770432944,97.13195150416811,1
0.010265561844764784,-0.07677608404635343,0.033574056583032516,144.40844057639427,0.000039827339153676955,28.155779515799495,62.06390697561629,90.21968649141579,0.033598488551705386,10.02135723217406,0.019837889551092645,0.05975055631347272,88.5393738079,40,240173.7858099102,0.96,68.79197810282963,51.32780922382392,5.463067725847618,0.0645257300888604,0.001580256956271482,-0.13089935610071024,0.501073453731934,0.50110107388773,0.5011053221348136,-0.06535638317410812,0.01837650156135345,0.4,1,40,0.06398734349908082,96.96180706606683,1
0.010604170422495287,-0.06886215786829776,0.033633731228443396,144.46661613535704,0.00003982570418356977,27.535469437231498,62.89622086661157,90.43169030384307,0.03381769178244448,10.033876602278772,0.020227855713572104,0.06040092066286058,89.6665832769,40,240183.6456973513,0.96,69.55108397873072,53.02085211247643,5.546906423322964,0.0646438483900254,0.001562045434575684,-0.13710538008977624,0.5017555674175593,0.501963624981328,0.5019959884842298,-0.06844550439332026,0.018464953774800882,0.5,1,40,0.06396897873368025,96.8173519565172,1
0.011122776516885827,-0.05426865350543404,0.03372767958221987,144.57669345587576,0.00003982261074630477,26.59215326485409,64.1405339462774,90.73268721113149,0.034054746898887496,10.057599875416534,0.020968049103117895,0.061422719037474274,91.466308272,40,240202.30326464906,0.96,70.69176050856383,55.613882584429135,5.6742872298121565,0.0648616618879786,0.0015286652990310454,-0.141656288554934,0.5029884613693417,0.5033435418401062,0.5033982027196996,-0.07070994202518081,0.01858981274945515,0.6,1,40,0.06395556002404196,96.71139419237025,1
0.010783314048976287,-0.05534937894934855,0.03369000335912934,144.57390940964925,0.00003982268898174206,27.049734971824456,63.51455241208985,90.5642873839143,0.03368299488292707,10.056999312848438,0.020907826182770956,0.06092088058705855,90.0815803677,40,240201.8313645158,0.96,70.13200704913963,53.916570244881434,5.612378203137614,0.06484553165747241,0.0015309085307807274,-0.14726226103396128,0.5028454811316881,0.502837204391513,0.5028358710317812,-0.07349835366230463,0.018520061181491753,0.7,1,40,0.06394032938144333,96.58011508291283,1
0.011472552657620993,-0.04163822919087709,0.033795988963037725,144.6742843626854,0.00003981986840822094,25.938805727412984,65.01117835254487,90.94998407995786,0.034112956683719574,10.07867016957712,0.02163233203597961,0.06215615114473225,92.4979022906,40,240218.84565794995,0.96,71.48014264124652,57.362763288104965,5.762559151438043,0.06505017568371825,0.001500015073083495,-0.15071867050444476,0.5040352920750831,0.5043669445628804,0.504417745716981,-0.0752170026075943,0.01867943269595353,0.8,1,40,0.06393075334190983,96.4992818537809,1
0.011571190506407493,-0.03400966196968894,0.0338260849323405,144.7352022824543,0.00003981815668953475,25.684890197499456,65.32759891633972,91.01248911383918,0.03401064581139552,10.091840777970287,0.022043814942109673,0.06244609585288789,92.7692526619,40,240229.17228079695,0.96,71.77871911032717,57.85595253203746,5.796747915607216,0.06516403489597479,0.001482784307510785,-0.15385526357592122,0.5046495257856058,0.5048383734262618,0.5048669392886642,-0.07677624114268206,0.01870513218428512,0.9,1,40,0.06392293163221649,96.42542232717713,1
