P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
89.84183088,-1.118247031852836,0.0,0.9397396742,56.41753188246056,36.0031835057539,611
92.54550663,-1.0670879845457362,3.2,0.9459989827,57.84504048122519,35.8284923731789,611
90.66067122,-1.1025712889294679,6.4,0.9454211482,55.82009724994985,36.5273215662981,611
86.15010716,-1.1523361848943119,9.6,0.9372482261,55.19856281114668,37.7056104647244,611
84.35007319,-1.141232776927034,12.8,0.9292077048,58.218820100373605,38.3663008730509,611
86.06937651,-1.0718148571338455,16.0,0.9314270987,62.39326127997903,38.3586665650535,611
87.33416219,-0.9938084288388076,19.2,0.9453048813,63.72288547199112,38.3747623790935,611
86.85887543,-0.9374121292316142,22.4,0.960986196,62.89901881786654,38.7506412638528,611
88.31747136,-0.8922840584239978,25.6,0.9685264501,64.07732391044703,39.0849141136038,611
93.34770986,-0.8618821002013738,28.8,0.9680566583,66.9559094182495,39.0564377961448,611
97.23839205,-0.8799118796500558,32.0,0.9656843879,66.07937988996325,38.9418730420596,611
94.64922972,-0.957127623661533,35.2,0.9640929055,60.23520888637177,39.129470103775,611
86.65896541,-1.0431438869330798,38.4,0.9625333156,55.01242962428022,39.556369287959,611
79.91699741,-1.0530032481877087,41.6,0.9623502446,54.48996153520078,39.8549493116217,611
80.26920263,-0.961640227505917,44.8,0.9659600841,59.4434701180255,39.8314537338779,611
87.65044086,-0.8430861608387284,48.0,0.9715307534,67.49385307733306,39.649071431128,611
96.27087435,-0.7921758709666193,51.2,0.9739075846,71.74190668151866,39.6575072325562,611
100.3766665,-0.8312950256567032,54.4,0.971037616,68.70045063843871,40.0960964058574,611
99.84725883,-0.905739276107319,57.6,0.9661401269,63.677319784652546,40.8488568653571,611
98.71849211,-0.9400017335185634,60.8,0.963145257,61.95532231732903,41.4487540378382,611
99.43878107,-0.9345667422254118,64.0,0.9622572108,62.68131665248505,41.4350817856601,611
101.0323778,-0.9428605355051838,67.2,0.9606506907,62.47314174569428,40.8102455791966,611
101.3811762,-0.991440612652137,70.4,0.9562821076,60.088002607486516,40.0842809614202,611
99.18179861,-1.0618379556793907,73.6,0.9503890704,57.022107188123734,39.7329769706892,611
95.24685077,-1.1045603524091807,76.8,0.9465888361,55.48877618900646,39.7014080288312,611
92.21548207,-1.084057816448412,80.0,0.9475504775,56.531306043958686,39.6779346829162,611
90.83774414,-1.0284585823598988,83.2,0.9523935571,58.80849074441056,39.7117496395311,611
88.36992099,-0.9928591335033955,86.4,0.9577012108,59.75134489003932,40.1221477138354,611
83.66835495,-0.9855171907277942,89.6,0.9609208262,59.33958861825213,40.8424220785322,611
80.49134605,-0.9668710242161235,92.8,0.9615821416,60.49803403982236,41.3564115792568,611
81.83703191,-0.9250383632527182,96.0,0.9594857526,64.56660250613564,41.3763612253127,611
84.58996114,-0.9102302080921668,99.2,0.9544562599,67.81455125726025,41.1861006044932,611
83.95260187,-0.9478518188559033,102.4,0.9486363818,66.56875313302382,41.1797814921836,611
80.39241615,-0.998914577638363,105.6,0.9454341174,63.34606410376597,41.3339442760987,611
78.24055301,-1.0132509210310672,108.8,0.9443239335,62.56599372872739,41.326145607081,611
78.88500193,-1.006756580880844,112.0,0.9407107513,64.35967717435112,41.1050104440247,611
79.44989986,-1.024724296800418,115.2,0.9337836157,65.40651081253459,41.1236958535846,611
78.9986006,-1.0391315756999595,118.4,0.9300223923,65.61841398388016,41.8101150358575,611
81.61715848,-0.978462297874538,121.6,0.9343361759,69.50437206614347,42.9114737960184,611
89.46788339,-0.8771419432630029,124.8,0.941026124,77.72247986408806,43.6800070179839,611
96.85053192,-0.8526965924058969,128.0,0.9391018101,82.04951220361664,43.7030054698343,611
