CCO,P_a,SaO2sup,Vmca,Pa_CO2,t
-0.7646804123060369,89.84183088,0.9397396742,53.52674359037975,36.0031835057539,0.0
-0.720088270794135,92.54550663,0.9459989827,54.621823018025545,35.8284923731789,3.2
-0.7422815564778995,90.66067122,0.9454211482,53.42886864599091,36.5273215662981,6.4
-0.7887661285638999,86.15010716,0.9372482261,52.82891020490357,37.7056104647244,9.6
-0.7907095532583144,84.35007319,0.9292077048,54.88594514940076,38.3663008730509,12.8
-0.733317781218981,86.06937651,0.9314270987,58.09676062834351,38.3586665650535,16.0
-0.6591402133753868,87.33416219,0.9453048813,59.256646668162524,38.3747623790935,19.2
-0.6005574545142653,86.85887543,0.960986196,58.86015525687564,38.7506412638528,22.4
-0.5565588297547591,88.31747136,0.9685264501,59.972872407229744,39.0849141136038,25.6
-0.5307592800606904,93.34770986,0.9680566583,62.27171680577132,39.0564377961448,28.8
-0.5441295157448499,97.23839205,0.9656843879,61.87783726368201,38.9418730420596,32.0
-0.596743817591139,94.64922972,0.9640929055,58.16400665353901,39.129470103775,35.2
-0.6614118740564703,86.65896541,0.9625333156,54.15308811127077,39.556369287959,38.4
-0.6809641570346188,79.91699741,0.9623502446,52.986032142981244,39.8549493116217,41.6
-0.6122923527239138,80.26920263,0.9659600841,56.53744475545867,39.8314537338779,44.8
-0.5103978822745299,87.65044086,0.9715307534,62.921521596124556,39.649071431128,48.0
-0.4674737728298358,96.27087435,0.9739075846,66.07368799115544,39.6575072325562,51.2
-0.4977621618346347,100.3766665,0.971037616,64.19691458471777,40.0960964058574,54.4
-0.5487668746726101,99.84725883,0.9661401269,61.40372831996883,40.8488568653571,57.6
-0.5711943500357584,98.71849211,0.963145257,60.56773003054474,41.4487540378382,60.8
-0.5675912539879311,99.43878107,0.9622572108,61.15344489698144,41.4350817856601,64.0
-0.5748109778094586,101.0323778,0.9606506907,61.03313909060434,40.8102455791966,67.2
-0.6114748149997821,101.3811762,0.9562821076,59.444227566285704,40.0842809614202,70.4
-0.6650515181139394,99.18179861,0.9503890704,57.23644157313573,39.7329769706892,73.6
-0.7043736113541886,95.24685077,0.9465888361,55.63801272948216,39.7014080288312,76.8
-0.7009294291951518,92.21548207,0.9475504775,55.61603265684459,39.6779346829162,80.0
-0.6648695258722782,90.83774414,0.9523935571,56.715853606039275,39.7117496395311,83.2
-0.6370245674824988,88.36992099,0.9577012108,57.179885808393855,40.1221477138354,86.4
-0.6299892712277907,83.66835495,0.9609208262,56.789339328230554,40.8424220785322,89.6
-0.6147023047372502,80.49134605,0.9615821416,57.71216492705005,41.3564115792568,92.8
-0.5794925102695712,81.83703191,0.9594857526,61.12959379813729,41.3763612253127,96.0
-0.567938516985513,84.58996114,0.9544562599,63.88211955237985,41.1861006044932,99.2
-0.6020350793569936,83.95260187,0.9486363818,62.92131607414093,41.1797814921836,102.4
-0.6462777587499287,80.39241615,0.9454341174,60.31400321312896,41.3339442760987,105.6
-0.659387898995427,78.24055301,0.9443239335,59.628864161156756,41.326145607081,108.8
-0.6558050260263572,78.88500193,0.9407107513,61.09372735312293,41.1050104440247,112.0
-0.6739563486577611,79.44989986,0.9337836157,61.97844877825628,41.1236958535846,115.2
-0.6863122850947249,78.9986006,0.9300223923,62.29123025060748,41.8101150358575,118.4
-0.6280531061531222,81.61715848,0.9343361759,65.94295573330803,42.9114737960184,121.6
-0.532204617886944,89.46788339,0.941026124,73.38618322945479,43.6800070179839,124.8
-0.5111695658121753,96.85053192,0.9391018101,77.00197217621815,43.7030054698343,128.0
-0.5983559500464259,97.2604604,0.925849172,72.74528699147662,43.2595042999726,131.2
-0.7157160536026324,92.72092282,0.9107652125,67.07768383204824,42.8649047302517,134.4
-0.7603328418620134,89.44654673,0.9051722926,65.22417838220674,42.7377048268004,137.6
-0.7301273331391154,88.26972902,0.9107748701,65.7415332736169,42.7561511766953,140.8
